run_id,run_name,sweep_id,state,created_at,config_gpt_model,config_world_size,config_lr_schedule.name,config_lr_schedule.warm_up_fraction,config_training_data,config_hydra.job.name,config_logging_params.wandb,config_logging_params.log_step,config_logging_params.val_step,config_logging_params.keep_last,config_logging_params.svd_log_step,config_logging_params.load_ckpt_step,config_logging_params.save_ckpt_step,config_logging_params.save_checkpoint,config_logging_params.val_tokens_processed,config_optimizer_params.args,config_optimizer_params.name,config_optimizer_params.args.lr,config_logging_params.wandb.tags,config_logging_params.wandb.project,config_optimizer_params.args.weight_decay,config_training_data.training_params.num_epochs,config_training_data.training_params.tokens_processed,config_seed,config_logging_params.diag_log_step,config_optimizer_params.args.ns_steps,config_optimizer_params.args.adamw_betas,config_optimizer_params.args.polar_method,config_optimizer_params.args.polar_safety,config_optimizer_params.args.polar_cushion,config_optimizer_params.args.polar_num_iters,config_ckpt_glob,config_optimizer_params.args.betas,config_training_data.training_params.batch_size,config_optimizer_params.args.muon_mode,config_optimizer_params.args.split_heads,config_logging_params.timing_only,config_optimizer_params.args.muon_variant
c653x5em,true-sweep-1,manual_runs,finished,2025-11-14T23:50:50Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",800.0,8000.0,2.0,1600.0,0.0,32000.0,True,16384.0,"{'lr': 0.0001, 'weight_decay': 0.1}",adamw,0.0001,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,,,,,,,,,,,,,,
pgavu9tw,valiant-sweep-2,5pllqyjx,finished,2025-11-18T07:52:04Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep']",cs182-project-GPT-opt,0.01,1.0,524288.0,123.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.0,0.024,[5],,,,,,,
oso9lime,different-sweep-3,5pllqyjx,finished,2025-11-18T09:18:47Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep']",cs182-project-GPT-opt,0.01,1.0,524288.0,456.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.0,0.024,[5],,,,,,,
ly4ms4uh,distinctive-sweep-4,5pllqyjx,finished,2025-11-18T09:19:51Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep']",cs182-project-GPT-opt,0.01,1.0,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[5],,,,,,,
zh36wbcn,decent-sweep-5,5pllqyjx,finished,2025-11-18T11:04:44Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep']",cs182-project-GPT-opt,0.01,1.0,524288.0,123.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[5],,,,,,,
exhbqbum,vivid-sweep-6,5pllqyjx,finished,2025-11-18T11:23:58Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep']",cs182-project-GPT-opt,0.01,1.0,524288.0,456.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[5],,,,,,,
updtya8t,dashing-sweep-1,manual_runs,finished,2025-11-19T00:39:12Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep-test,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep', 'svd-test'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep', 'svd-test']",cs182-project-GPT-opt,0.01,0.2,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.0,0.024,[5],,,,,,,
fkqayxvd,silver-sweep-2,manual_runs,finished,2025-11-19T01:23:30Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep-test,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep', 'svd-test'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep', 'svd-test']",cs182-project-GPT-opt,0.01,0.2,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[5],,,,,,,
s3g9gdcb,pe-offline-heatmaps-only,manual_runs,finished,2025-11-19T02:18:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs/2025-11-18/11-04-49/checkpoints/ckpt*.pth,,,,,,
gm3iimbq,wild-sweep-1,manual_runs,finished,2025-11-19T03:14:26Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep-test,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep', 'svd-test'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,4.0,800.0,0.0,6400.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep', 'svd-test']",cs182-project-GPT-opt,0.01,0.2,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.0,0.024,[5],,,,,,,
