"Step","vivid-sweep-6 - svd/update_layer11_stacked/condition_number","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MIN","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MAX","decent-sweep-5 - svd/update_layer11_stacked/condition_number","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MIN","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MAX","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MIN","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MAX","different-sweep-3 - svd/update_layer11_stacked/condition_number","different-sweep-3 - svd/update_layer11_stacked/condition_number__MIN","different-sweep-3 - svd/update_layer11_stacked/condition_number__MAX","valiant-sweep-2 - svd/update_layer11_stacked/condition_number","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MIN","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MAX","jolly-sweep-1 - svd/update_layer11_stacked/condition_number","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MIN","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MAX"
"6","306780.2042197527","306780.2042197527","306780.2042197527","406302.5801916776","406302.5801916776","406302.5801916776","403575.9347144565","403575.9347144565","403575.9347144565","391699.84009759635","391699.84009759635","391699.84009759635","273170.67590405577","273170.67590405577","273170.67590405577","273391.9434040344","273391.9434040344","273391.9434040344"
"13","234488.87826119177","234488.87826119177","234488.87826119177","230827.63725478185","230827.63725478185","230827.63725478185","219489.91221400135","219489.91221400135","219489.91221400135","247368.0729996197","247368.0729996197","247368.0729996197","204178.9791817699","204178.9791817699","204178.9791817699","233684.9603256456","233684.9603256456","233684.9603256456"
"20","84452.16838069995","84452.16838069995","84452.16838069995","102898.53483771533","102898.53483771533","102898.53483771533","91742.38670797841","91742.38670797841","91742.38670797841","108949.99016230008","108949.99016230008","108949.99016230008","86308.7327709993","86308.7327709993","86308.7327709993","90252.728294612","90252.728294612","90252.728294612"
"27","60764.301946032756","60764.301946032756","60764.301946032756","60287.14474449339","60287.14474449339","60287.14474449339","52332.3450243243","52332.3450243243","52332.3450243243","51927.73148256761","51927.73148256761","51927.73148256761","53389.65646007207","53389.65646007207","53389.65646007207","48224.53536888432","48224.53536888432","48224.53536888432"
"35","38520.94895618983","38520.94895618983","38520.94895618983","42254.47202743614","42254.47202743614","42254.47202743614","48751.52390436225","48751.52390436225","48751.52390436225","37875.623361091035","37875.623361091035","37875.623361091035","42960.717569873836","42960.717569873836","42960.717569873836","32712.4075347796","32712.4075347796","32712.4075347796"
"42","28388.884374446363","28388.884374446363","28388.884374446363","36208.05961237331","36208.05961237331","36208.05961237331","36985.201086230336","36985.201086230336","36985.201086230336","39526.1706483515","39526.1706483515","39526.1706483515","35974.36089740161","35974.36089740161","35974.36089740161","30993.04328288381","30993.04328288381","30993.04328288381"
"49","20839.494552225624","20839.494552225624","20839.494552225624","29735.13628801308","29735.13628801308","29735.13628801308","22822.969918914594","22822.969918914594","22822.969918914594","34264.147571829606","34264.147571829606","34264.147571829606","20909.84969084724","20909.84969084724","20909.84969084724","20168.138923472525","20168.138923472525","20168.138923472525"
"56","18906.217102891285","18906.217102891285","18906.217102891285","21358.5782657532","21358.5782657532","21358.5782657532","21352.18238032041","21352.18238032041","21352.18238032041","30564.25410904085","30564.25410904085","30564.25410904085","20724.847535587403","20724.847535587403","20724.847535587403","19633.03805626831","19633.03805626831","19633.03805626831"
"64","14693.9932976855","14693.9932976855","14693.9932976855","22565.4384330094","22565.4384330094","22565.4384330094","22362.25490011819","22362.25490011819","22362.25490011819","18055.07462482607","18055.07462482607","18055.07462482607","17359.734889125906","17359.734889125906","17359.734889125906","16870.534318112354","16870.534318112354","16870.534318112354"
"71","17435.33650720507","17435.33650720507","17435.33650720507","19250.194561211152","19250.194561211152","19250.194561211152","20858.59579547165","20858.59579547165","20858.59579547165","21730.279755285832","21730.279755285832","21730.279755285832","16696.769080216716","16696.769080216716","16696.769080216716","15391.422112353948","15391.422112353948","15391.422112353948"
"78","15188.217227770749","15188.217227770749","15188.217227770749","16405.18213886054","16405.18213886054","16405.18213886054","14283.458097942868","14283.458097942868","14283.458097942868","20154.950612661974","20154.950612661974","20154.950612661974","15666.67921526822","15666.67921526822","15666.67921526822","12960.276176851276","12960.276176851276","12960.276176851276"
